a,N,phi,dphi_dN,Delta_phi,H,rho_r,rho_m,rho_phi,rho_tot,p_phi,p_tot,w_eff,w_phi
1.0,0.0,3.0,0.0,6.0,1.0,9e-05,0.35,0.64991,1.0,-0.64991,-0.64988,-0.64988,-1.0
0.996504373103857,-0.003501750875437719,2.999998893300787,0.0006317362619332396,5.999997786601574,1.0018470388102936,9.126950050833261e-05,0.35369621928494827,0.6499100003874972,1.0036974891729538,-0.6499096012967925,-0.6498791781299564,-0.6474851089499651,-0.9999993859292756
0.9930209656151111,-0.007003501750875438,2.999995569113645,0.0012666213558092596,5.99999113822729,1.003710134782629,9.25569080337836e-05,0.357431472961332,0.6499100047959973,1.007434034665363,-0.6499084004663384,-0.6498775481636604,-0.6450819863153906,-0.9999975314587449
0.989549734819273,-0.010505252626313157,2.999990016819727,0.0019046606375660341,5.999980033639454,1.00558940579627,9.386247516487895e-05,0.36120617325678106,0.6499100173177494,1.0112100530496955,-0.6499063895856052,-0.6498751020938835,-0.6426707291268847,-0.9999944181008946
0.9860906381511676,-0.014007003501750876,2.999982224133318,0.0025458601916470655,5.999964448266636,1.007484970110077,9.518645805304748e-05,0.365020736752307,0.6499100417873428,1.015025964997703,-0.6499035603832274,-0.6498718315638764,-0.6402514358983389,-0.9999900272288491
0.9826436331944116,-0.017508754377188594,2.9999721842059297,0.00319022307704456,5.999944368411859,1.0093969469913162,9.652911646287771e-05,0.3688755844282781,0.649910083050649,1.01888219659539,-0.6498999055273678,-0.6498677291552135,-0.6378242070837592,-0.9999843401055828
0.9792086776808936,-0.021010505252626314,2.999959884135109,0.0038377554894612515,5.999919768270218,1.0113254556944444,9.789071382308347e-05,0.37277114171087905,0.6499101449108737,1.0227791773355759,-0.6498954165436768,-0.6498627863057358,-0.6353891443103896,-0.999977337840758
0.9757857294902557,-0.02451225612806403,2.999945311723195,0.004488463356877878,5.99989062344639,1.013270616062735,9.927151727818841e-05,0.37670783851906176,0.6499102313398144,1.0267173413761543,-0.6498900850365084,-0.649856994530749,-0.6329463508035397,-0.9999690014061411
0.9723747466493771,-0.02801400700350175,2.9999284547725265,0.0051423526072751765,5.999856909545053,1.0152325484643419,0.0001006717977409396,0.38068610931199126,0.6499103463516701,1.0306971274614023,-0.6498839025613327,-0.649850345295419,-0.6304959313275613,-0.9999593116335416
0.9689756873318592,-0.03151575787893947,2.9999093010854416,0.005799429168633884,5.999818602170883,1.0172113737911674,0.0001020918299454605,0.3847063931369939,0.6499104940031748,1.0347189789701141,-0.6498768606244929,-0.649842830014511,-0.6280379921718634,-0.9999482492143268
0.9655885098575133,-0.03501750875437719,2.999887838581915,0.0064596988638724595,5.99977567716383,1.0192072134677685,0.00010353189250115346,0.38876913367801064,0.6499106784142218,1.0387833439847336,-0.6498689507048098,-0.6498344400739761,-0.6255726411450108,-0.999935794701029
0.9622131726918488,-0.03851925962981491,2.999864057536703,0.007123165412827204,5.999728115073406,1.0212201896401092,0.00010499226794736288,0.3928747793045629,0.6499109041560703,1.0428906757285805,-0.6498601646705718,-0.6498251672479227,-0.6230999877278068,-0.9999219285517845
0.9588496344455641,-0.04202101050525263,2.9998379475030403,0.00778983317973227,5.999675895006081,1.0232504249089138,0.00010647324280880919,0.39702378312123515,0.6499111757122288,1.0470414320762726,-0.6498504942112607,-0.6498150031303245,-0.6206201428359409,-0.9999066310855456
0.9554978538740394,-0.04552276138069035,2.9998094972915017,0.008459707192101065,5.999618994583003,1.0252980423283524,0.00010797510765180474,0.4012166030176803,0.6499114974770197,1.0512360756023518,-0.6498399308312437,-0.649803939128693,-0.6181332187980321,-0.9998898824746849
0.9521577898768304,-0.04902451225612806,2.9997786957126613,0.009132792477446992,5.999557391425323,1.0273631654686661,0.00010949815714126288,0.40545370171915285,0.6499118738855036,1.0554750737617977,-0.6498284659870674,-0.6497919666013537,-0.6156393293926337,-0.9998716627564633
0.9488294014971649,-0.05252626313156578,2.9997455315770933,0.009809094063283456,5.999491063154187,1.0294459184149798,0.00011104269009851085,0.40973554683757574,0.649912309413587,1.0597588989412612,-0.6498160910872446,-0.6497790768572117,-0.613138589830541,-0.9998519518326568
0.9455126479214402,-0.0560280140070035,2.9997099936885103,0.010488616953327489,5.999419987377021,1.0315464257653912,0.00011260900955991836,0.4140626109231467,0.649912808576647,1.0640880285093537,-0.6498027974910534,-0.6497652611545335,-0.6106311167364307,-0.9998307294699507
0.9422074884787226,-0.05952976488244122,2.9996720706238014,0.011171365364854741,5.999344141247603,1.0336648126064694,0.00011419742283635332,0.41843537151649013,0.649913375881441,1.0684629448207676,-0.6497885764773259,-0.6497505106697138,-0.6081170281283905,-0.9998079753260257
0.9389138826402491,-0.06303151575787894,2.999631751004557,0.011857343670127122,5.999263502009114,1.0358012045399856,0.00011580824157347575,0.4228543112013579,0.6499140158835536,1.0728841353264849,-0.6497734192846422,-0.649734816537451,-0.6055964434032133,-0.9997836689231571
0.9356317900189298,-0.06653326663331666,2.999589023540077,0.012546556545509634,5.999178047080154,1.0379557276865574,0.00011744178181288277,0.42731991765788924,0.6499147331976287,1.0773520926373308,-0.649757317116479,-0.6497181698558747,-0.6030694833156921,-0.9997577896405345
0.9323611703688532,-0.07003501750875438,2.999543876939658,0.01323900866736728,5.999087753879316,1.0401285086753367,0.00011909836405411544,0.431832683716431,0.6499155324786946,1.0818673145591797,-0.6497402611282,-0.6497005616735153,-0.6005362699567681,-0.9997303167231193
0.9291019835847925,-0.0735367683841921,2.9994962999125985,0.013934704712065057,5.998992599825197,1.0423196746428165,0.00012077831331754082,0.43639310741192716,0.6499164184222622,1.086430304147507,-0.6497222424268497,-0.6496819829890772,-0.5979969267323276,-0.9997012292813222
0.9258541897017137,-0.07703851925962982,2.9994462803500572,0.014633646873852574,5.9988925607001145,1.044529353143735,0.00012248195920812045,0.4410016920388827,0.6499173955807785,1.0910415695788693,-0.6497032519599498,-0.6496624246402137,-0.5954515783399313,-0.9996705064023754
0.9226177488942857,-0.08054027013506754,2.999393808810885,0.015335845440361557,5.99878761762177,1.0467576725239522,0.00012420963598007914,0.44565894620690827,0.6499184691448732,1.0957016249877616,-0.6496832809895026,-0.6496418777775093,-0.5929003507544907,-0.9996381266781355
0.919392621476392,-0.08404202101050526,2.99933887237536,0.016041300145752432,5.99867774475072,1.0490047612597009,0.00012596168260248485,0.4503653838968502,0.6499196435660695,1.100410989145522,-0.6496623202557033,-0.6496203330281691,-0.5903433711913442,-0.9996040690369746
0.9161787679006437,-0.08754377188594298,2.999281459726579,0.016750015586901056,5.998562919453158,1.0512707485006896,0.00012773844282575468,0.4551215245175151,0.6499209236928591,1.1051701866532,-0.6496403606706977,-0.6495977811897559,-0.5877807680977538,-0.9995683120639243
0.9129761487578951,-0.0910455227613807,2.9992215595317098,0.017461996312353664,5.9984431190634195,1.053555763896228,0.0001295402652490981,0.45992789296299125,0.6499223144107245,1.1099797476389648,-0.6496173930955118,-0.6495742130070954,-0.585212671121976,-0.9995308342113333
0.90978472477676,-0.0945472736368184,2.99915916044199,0.018177246822326857,5.99831832088398,1.0558599375940092,0.00013136750338891217,0.46478501967057817,0.6499238206420578,1.1148402078160249,-0.649593408340018,-0.6495496191722216,-0.5826392110889965,-0.9994916137991167
0.9066044568231303,-0.09804902451225612,2.999094251092092,0.018895771567270438,5.998188502184184,1.0581834002388302,0.00013322051574814116,0.46969344067932517,0.6499254473459387,1.119752108541012,-0.6495683971628162,-0.6495239903242335,-0.5800605199757425,-0.9994506290150962
0.9034353058996962,-0.10155077538769385,2.999026819976023,0.019617574666989466,5.998053639952046,1.0605262829582554,0.00013509966588661445,0.47465369768918986,0.649927199490177,1.1247159968452534,-0.649542350254362,-0.6494973170323998,-0.5774767308851235,-0.9994078579322163
0.9002772331454681,-0.10505252626313157,2.998956855555774,0.020342660156548127,5.997913711111548,1.062888717372653,0.00013700532249237684,0.4796663381208206,0.6499290820747702,1.1297324255180832,-0.6495152582525253,-0.6494695898116946,-0.5748879780217468,-0.9993632784965957
0.8971301998352996,-0.10855427713856929,2.9988843463448833,0.02107103217540863,5.997768692689767,1.0652708356029175,0.00013893785945402512,0.48473191517597125,0.6499311001507126,1.134801953186138,-0.6494871117537755,-0.6494407991339575,-0.5722943966659103,-0.9993168685160101
0.8939941673794133,-0.112056028014007,2.9988092808341262,0.021802694799233906,5.9976185616682525,1.0676727702615088,0.00014089765593406427,0.4898509878985521,0.6499332588033984,1.1399251443578846,-0.6494579013028898,-0.6494109354175784,-0.5696961231462169,-0.9992686056697826
0.8908690973229269,-0.11555777888944473,2.9987316474915118,0.022537652039887626,5.9974632949830236,1.0700946544512937,0.00014288509644329946,0.49502412123632805,0.6499355631524623,1.1451025694852337,-0.6494276173929913,-0.6493799890275102,-0.5670932948123858,-0.9992184675092909
0.8877549513453822,-0.11905952976488245,2.9986514347622837,0.023275907845434176,5.997302869524567,1.0725366217644048,0.00014490057091627636,0.5002518861032661,0.6499380183516196,1.150334805025802,-0.6493962504655905,-0.649347950275285,-0.5644860500076064,-0.9991664314584903
0.8846516912602752,-0.12256128064032017,2.9985686310689217,0.02401746610013867,5.997137262137843,1.0749988062811189,0.00014694447478778627,0.5055348594425421,0.6499406295885005,1.1556224335058305,-0.6493637909106292,-0.6493148094190333,-0.56187452804044,-0.9991124748144511
0.8815592790145874,-0.12606303151575787,2.99848322481114,0.02476233062446695,5.99696644962228,1.0774813425687555,0.00014901720907045026,0.5108736242902139,0.6499434020844833,1.1609660435837676,-0.6493302290665278,-0.6492805566635044,-0.5592588691562852,-0.9990565747479104
0.8784776766883196,-0.1295647823911956,2.9983952043658872,0.02551050517508559,5.9967904087317745,1.079984365680596,0.0001511191804333974,0.5162687698395652,0.6499463410945211,1.1663662301145197,-0.649295555220233,-0.6492451821600885,-0.5566392145084159,-0.9989987083038391
0.8754068464940267,-0.1330665332666333,2.9983045581501635,0.02626199378611921,5.996609116300327,1.082508011164198,0.00015325080128205298,0.5217208915061295,0.649949451927256,1.1718235942346675,-0.6492597596096339,-0.6492086760092065,-0.5540157061210332,-0.9989388523744778
0.8723467507763545,-0.13656828414207103,2.998211274641496,0.02701680088040133,5.996422549282992,1.085052415063933,0.00015541248983905233,0.5272305909934019,0.6499527399528322,1.1773387434360731,-0.6492228324230209,-0.6491710282597413,-0.5513884868556437,-0.9988769836867458
0.8692973520115778,-0.14007003501750875,2.9981153422115976,0.02777493036577548,5.996230684423195,1.0876177138952916,0.00015760467022629576,0.5327984763592432,0.6499562105493512,1.1829122915788206,-0.6491847637925275,-0.6491322289024521,-0.5487577004006461,-0.998813078874696
0.8662586128071402,-0.14357178589294647,2.998016749213041,0.028536386105990096,5.996033498426082,1.0902040446565922,0.000159827772548161,0.5384251620829863,0.6499598691300584,1.188544858985593,-0.6491455437980683,-0.6490922678738856,-0.5461234912310143,-0.9987471144440347
0.863230495901196,-0.1470735367683842,2.9979154839813944,0.029301171932278065,5.995830967962789,1.0928115448283808,0.00016208223297588942,0.5441112691332507,0.6499637211439657,1.1942370725101923,-0.6491051624673607,-0.6490511350563688,-0.5434860045770598,-0.9986790667714593
0.860212964162153,-0.15057528764382191,2.9978115348352183,0.03006929164335675,5.995623069670437,1.0954403523725513,0.00016436849383316246,0.5498574250364736,0.6499677720757925,1.1999895656060993,-0.6490636097758592,-0.6490088202779148,-0.5408453863930965,-0.99860891210491
0.8572059805882168,-0.15407703851925963,2.9977048900760663,0.030840749005427968,5.995409780152133,1.0980906057314908,0.00016668700368288538,0.5556642639461645,0.6499720274459048,1.2058029783957522,-0.649020875646689,-0.648965313312128,-0.5382017833257777,-0.9985366265638332
0.8542095083069381,-0.15757878939469736,2.9975955379884858,0.031615547752178,5.9951910759769715,1.1007624438272592,0.00016903821741519491,0.5615324267128914,0.6499764928102533,1.2116779577405599,-0.648976949950583,-0.6489206038781112,-0.5355553426821154,-0.9984621861394577
0.8512235105747593,-0.16108054027013508,2.9974834668400185,0.03239369158477759,5.994966933680037,1.1034560060607994,0.0001714225963367085,0.5674625609550056,0.649981173760309,1.2176151573116512,-0.6489318225058192,-0.6488746816403735,-0.5329062123972006,-0.9983855666950797
